event,date,producto_relacionado
Fathers' Day,2025-06-15,Calabacita
Fathers' Day,2025-06-15,Cebolla
Fathers' Day,2025-06-15,Chayote
Fathers' Day,2025-06-15,Chile verde (jalapeño/serrano)
Fathers' Day,2025-06-15,Chícharo
Fathers' Day,2025-06-15,Col (repollo)
Fathers' Day,2025-06-15,Ejote
Fathers' Day,2025-06-15,Elote (maíz tierno)
Fathers' Day,2025-06-15,Espinaca
Fathers' Day,2025-06-15,Jitomate (tomate rojo)
Fathers' Day,2025-06-15,Lechuga
Fathers' Day,2025-06-15,Papas fritas clásicas 170 g
Fathers' Day,2025-06-15,Pepino
Fathers' Day,2025-06-15,Tomate verde (tomatillo)
Fathers' Day,2025-06-15,Verdolaga
Fathers' Day,2025-06-15,Zanahoria
Corpus Christi,2025-06-19,Aguacate Hass
Corpus Christi,2025-06-19,Fresa
Corpus Christi,2025-06-19,Refresco limón 600 ml
Corpus Christi,2025-06-19,Mamey
Corpus Christi,2025-06-19,Mango
Corpus Christi,2025-06-19,Melón
Corpus Christi,2025-06-19,Papaya
Corpus Christi,2025-06-19,Piña
Corpus Christi,2025-06-19,Plátano
Corpus Christi,2025-06-19,Uva
Corpus Christi,2025-06-19,Acelga
Corpus Christi,2025-06-19,Ajo
Corpus Christi,2025-06-19,Berro
Corpus Christi,2025-06-19,Betabel
Corpus Christi,2025-06-19,Calabacita
Corpus Christi,2025-06-19,Cebolla
Corpus Christi,2025-06-19,Chayote
Corpus Christi,2025-06-19,Chile verde (jalapeño/serrano)
Corpus Christi,2025-06-19,Chícharo
Corpus Christi,2025-06-19,Col (repollo)
Corpus Christi,2025-06-19,Ejote
Corpus Christi,2025-06-19,Elote (maíz tierno)
Corpus Christi,2025-06-19,Espinaca
Corpus Christi,2025-06-19,Jitomate (tomate rojo)
Corpus Christi,2025-06-19,Lechuga
Corpus Christi,2025-06-19,Papas fritas clásicas 170 g
Corpus Christi,2025-06-19,Pepino
Corpus Christi,2025-06-19,Tomate verde (tomatillo)
Corpus Christi,2025-06-19,Verdolaga
Corpus Christi,2025-06-19,Zanahoria
June Solstice,2025-06-20,Aguacate Hass
June Solstice,2025-06-20,Fresa
June Solstice,2025-06-20,Refresco limón 600 ml
June Solstice,2025-06-20,Mamey
June Solstice,2025-06-20,Mango
June Solstice,2025-06-20,Melón
June Solstice,2025-06-20,Papaya
June Solstice,2025-06-20,Piña
June Solstice,2025-06-20,Plátano
June Solstice,2025-06-20,Uva
June Solstice,2025-06-20,Acelga
June Solstice,2025-06-20,Ajo
June Solstice,2025-06-20,Berro
June Solstice,2025-06-20,Betabel
June Solstice,2025-06-20,Calabacita
June Solstice,2025-06-20,Cebolla
June Solstice,2025-06-20,Chayote
June Solstice,2025-06-20,Chile verde (jalapeño/serrano)
June Solstice,2025-06-20,Chícharo
June Solstice,2025-06-20,Col (repollo)
June Solstice,2025-06-20,Ejote
June Solstice,2025-06-20,Elote (maíz tierno)
June Solstice,2025-06-20,Espinaca
June Solstice,2025-06-20,Jitomate (tomate rojo)
June Solstice,2025-06-20,Lechuga
June Solstice,2025-06-20,Papas fritas clásicas 170 g
June Solstice,2025-06-20,Pepino
June Solstice,2025-06-20,Tomate verde (tomatillo)
June Solstice,2025-06-20,Verdolaga
June Solstice,2025-06-20,Zanahoria
Assumption of Mary,2025-08-15,Aguacate Hass
Assumption of Mary,2025-08-15,Ciruela
Assumption of Mary,2025-08-15,Néctar de durazno 1 L
Assumption of Mary,2025-08-15,Higo
Assumption of Mary,2025-08-15,Refresco limón 600 ml
Assumption of Mary,2025-08-15,Mango
Assumption of Mary,2025-08-15,Manzana
Assumption of Mary,2025-08-15,Melón
Assumption of Mary,2025-08-15,Papaya
Assumption of Mary,2025-08-15,Pera
Assumption of Mary,2025-08-15,Piña
Assumption of Mary,2025-08-15,Plátano
Assumption of Mary,2025-08-15,Tuna
Assumption of Mary,2025-08-15,Uva
Assumption of Mary,2025-08-15,Zapote negro
Assumption of Mary,2025-08-15,Acelga
Assumption of Mary,2025-08-15,Ajo
Assumption of Mary,2025-08-15,Betabel
Assumption of Mary,2025-08-15,Calabacita
Assumption of Mary,2025-08-15,Cebolla
Assumption of Mary,2025-08-15,Chayote
Assumption of Mary,2025-08-15,Chile poblano
Assumption of Mary,2025-08-15,Chile verde (jalapeño/serrano)
Assumption of Mary,2025-08-15,Col (repollo)
Assumption of Mary,2025-08-15,Ejote
Assumption of Mary,2025-08-15,Elote (maíz tierno)
Assumption of Mary,2025-08-15,Espinaca
Assumption of Mary,2025-08-15,Jitomate (tomate rojo)
Assumption of Mary,2025-08-15,Lechuga
Assumption of Mary,2025-08-15,Papas fritas clásicas 170 g
Assumption of Mary,2025-08-15,Pepino
Assumption of Mary,2025-08-15,Tomate verde (tomatillo)
Assumption of Mary,2025-08-15,Verdolaga
Assumption of Mary,2025-08-15,Zanahoria
Shout of Dolores,2025-09-15,Aguacate Hass
Shout of Dolores,2025-09-15,Néctar de durazno 1 L
Shout of Dolores,2025-09-15,Granada roja
Shout of Dolores,2025-09-15,Guayaba
Shout of Dolores,2025-09-15,Higo
Shout of Dolores,2025-09-15,Refresco limón 600 ml
Shout of Dolores,2025-09-15,Manzana
Shout of Dolores,2025-09-15,Papaya
Shout of Dolores,2025-09-15,Pera
Shout of Dolores,2025-09-15,Piña
Shout of Dolores,2025-09-15,Plátano
Shout of Dolores,2025-09-15,Tuna
Shout of Dolores,2025-09-15,Uva
Shout of Dolores,2025-09-15,Zapote negro
Shout of Dolores,2025-09-15,Acelga
Shout of Dolores,2025-09-15,Ajo
Shout of Dolores,2025-09-15,Betabel
Shout of Dolores,2025-09-15,Calabacita
Shout of Dolores,2025-09-15,Cebolla
Shout of Dolores,2025-09-15,Chayote
Shout of Dolores,2025-09-15,Chile poblano
Shout of Dolores,2025-09-15,Chile verde (jalapeño/serrano)
Shout of Dolores,2025-09-15,Col (repollo)
Shout of Dolores,2025-09-15,Ejote
Shout of Dolores,2025-09-15,Elote (maíz tierno)
Shout of Dolores,2025-09-15,Espinaca
Shout of Dolores,2025-09-15,Jitomate (tomate rojo)
Shout of Dolores,2025-09-15,Lechuga
Shout of Dolores,2025-09-15,Papas fritas clásicas 170 g
Shout of Dolores,2025-09-15,Pepino
Shout of Dolores,2025-09-15,Tomate verde (tomatillo)
Shout of Dolores,2025-09-15,Verdolaga
Shout of Dolores,2025-09-15,Zanahoria
Independence Day,2025-09-16,Aguacate Hass
Independence Day,2025-09-16,Néctar de durazno 1 L
Independence Day,2025-09-16,Granada roja
Independence Day,2025-09-16,Guayaba
Independence Day,2025-09-16,Higo
Independence Day,2025-09-16,Refresco limón 600 ml
Independence Day,2025-09-16,Manzana
Independence Day,2025-09-16,Papaya
Independence Day,2025-09-16,Pera
Independence Day,2025-09-16,Piña
Independence Day,2025-09-16,Plátano
Independence Day,2025-09-16,Tuna
Independence Day,2025-09-16,Uva
Independence Day,2025-09-16,Zapote negro
Independence Day,2025-09-16,Acelga
Independence Day,2025-09-16,Ajo
Independence Day,2025-09-16,Betabel
Independence Day,2025-09-16,Calabacita
Independence Day,2025-09-16,Cebolla
Independence Day,2025-09-16,Chayote
Independence Day,2025-09-16,Chile poblano
Independence Day,2025-09-16,Chile verde (jalapeño/serrano)
Independence Day,2025-09-16,Col (repollo)
Independence Day,2025-09-16,Ejote
Independence Day,2025-09-16,Elote (maíz tierno)
Independence Day,2025-09-16,Espinaca
Independence Day,2025-09-16,Jitomate (tomate rojo)
Independence Day,2025-09-16,Lechuga
Independence Day,2025-09-16,Papas fritas clásicas 170 g
Independence Day,2025-09-16,Pepino
Independence Day,2025-09-16,Tomate verde (tomatillo)
Independence Day,2025-09-16,Verdolaga
Independence Day,2025-09-16,Zanahoria
September Equinox,2025-09-22,Aguacate Hass
September Equinox,2025-09-22,Néctar de durazno 1 L
September Equinox,2025-09-22,Granada roja
September Equinox,2025-09-22,Guayaba
September Equinox,2025-09-22,Higo
September Equinox,2025-09-22,Refresco limón 600 ml
September Equinox,2025-09-22,Manzana
September Equinox,2025-09-22,Papaya
September Equinox,2025-09-22,Pera
September Equinox,2025-09-22,Piña
September Equinox,2025-09-22,Plátano
September Equinox,2025-09-22,Tuna
September Equinox,2025-09-22,Uva
September Equinox,2025-09-22,Zapote negro
September Equinox,2025-09-22,Acelga
September Equinox,2025-09-22,Ajo
September Equinox,2025-09-22,Betabel
September Equinox,2025-09-22,Calabacita
September Equinox,2025-09-22,Cebolla
September Equinox,2025-09-22,Chayote
September Equinox,2025-09-22,Chile poblano
September Equinox,2025-09-22,Chile verde (jalapeño/serrano)
September Equinox,2025-09-22,Col (repollo)
September Equinox,2025-09-22,Ejote
September Equinox,2025-09-22,Elote (maíz tierno)
September Equinox,2025-09-22,Espinaca
September Equinox,2025-09-22,Jitomate (tomate rojo)
September Equinox,2025-09-22,Lechuga
September Equinox,2025-09-22,Papas fritas clásicas 170 g
September Equinox,2025-09-22,Pepino
September Equinox,2025-09-22,Tomate verde (tomatillo)
September Equinox,2025-09-22,Verdolaga
September Equinox,2025-09-22,Zanahoria
Day of Race,2025-10-12,Aguacate Hass
Day of Race,2025-10-12,Granada roja
Day of Race,2025-10-12,Guayaba
Day of Race,2025-10-12,Higo
Day of Race,2025-10-12,Refresco limón 600 ml
Day of Race,2025-10-12,Manzana
Day of Race,2025-10-12,Papaya
Day of Race,2025-10-12,Pera
Day of Race,2025-10-12,Piña
Day of Race,2025-10-12,Plátano
Day of Race,2025-10-12,Tejocote
Day of Race,2025-10-12,Uva
Day of Race,2025-10-12,Zapote negro
Day of Race,2025-10-12,Acelga
Day of Race,2025-10-12,Ajo
Day of Race,2025-10-12,Betabel
Day of Race,2025-10-12,Calabacita
Day of Race,2025-10-12,Cebolla
Day of Race,2025-10-12,Chayote
Day of Race,2025-10-12,Chile poblano
Day of Race,2025-10-12,Chile verde (jalapeño/serrano)
Day of Race,2025-10-12,Col (repollo)
Day of Race,2025-10-12,Coliflor
Day of Race,2025-10-12,Ejote
Day of Race,2025-10-12,Elote (maíz tierno)
Day of Race,2025-10-12,Espinaca
Day of Race,2025-10-12,Jitomate (tomate rojo)
Day of Race,2025-10-12,Lechuga
Day of Race,2025-10-12,Papas fritas clásicas 170 g
Day of Race,2025-10-12,Pepino
Day of Race,2025-10-12,Tomate verde (tomatillo)
Day of Race,2025-10-12,Verdolaga
Day of Race,2025-10-12,Zanahoria
Halloween,2025-10-31,Aguacate Hass
Halloween,2025-10-31,Granada roja
Halloween,2025-10-31,Guayaba
Halloween,2025-10-31,Higo
Halloween,2025-10-31,Refresco limón 600 ml
Halloween,2025-10-31,Manzana
Halloween,2025-10-31,Papaya
Halloween,2025-10-31,Pera
Halloween,2025-10-31,Piña
Halloween,2025-10-31,Plátano
Halloween,2025-10-31,Tejocote
Halloween,2025-10-31,Uva
Halloween,2025-10-31,Zapote negro
Halloween,2025-10-31,Acelga
Halloween,2025-10-31,Ajo
Halloween,2025-10-31,Betabel
Halloween,2025-10-31,Calabacita
Halloween,2025-10-31,Cebolla
Halloween,2025-10-31,Chayote
Halloween,2025-10-31,Chile poblano
Halloween,2025-10-31,Chile verde (jalapeño/serrano)
Halloween,2025-10-31,Col (repollo)
Halloween,2025-10-31,Coliflor
Halloween,2025-10-31,Ejote
Halloween,2025-10-31,Elote (maíz tierno)
Halloween,2025-10-31,Espinaca
Halloween,2025-10-31,Jitomate (tomate rojo)
Halloween,2025-10-31,Lechuga
Halloween,2025-10-31,Papas fritas clásicas 170 g
Halloween,2025-10-31,Pepino
Halloween,2025-10-31,Tomate verde (tomatillo)
Halloween,2025-10-31,Verdolaga
Halloween,2025-10-31,Zanahoria
All Saints' Day,2025-11-01,Aguacate Hass
All Saints' Day,2025-11-01,Guayaba
All Saints' Day,2025-11-01,Lima
All Saints' Day,2025-11-01,Refresco limón 600 ml
All Saints' Day,2025-11-01,Mandarina
All Saints' Day,2025-11-01,Jugo de naranja 1 L
All Saints' Day,2025-11-01,Papaya
All Saints' Day,2025-11-01,Piña
All Saints' Day,2025-11-01,Plátano
All Saints' Day,2025-11-01,Tejocote
All Saints' Day,2025-11-01,Toronja (pomelo)
All Saints' Day,2025-11-01,Uva
All Saints' Day,2025-11-01,Zapote negro
All Saints' Day,2025-11-01,Acelga
All Saints' Day,2025-11-01,Ajo
All Saints' Day,2025-11-01,Betabel
All Saints' Day,2025-11-01,Calabacita
All Saints' Day,2025-11-01,Cebolla
All Saints' Day,2025-11-01,Col (repollo)
All Saints' Day,2025-11-01,Coliflor
All Saints' Day,2025-11-01,Ejote
All Saints' Day,2025-11-01,Elote (maíz tierno)
All Saints' Day,2025-11-01,Espinaca
All Saints' Day,2025-11-01,Jitomate (tomate rojo)
All Saints' Day,2025-11-01,Lechuga
All Saints' Day,2025-11-01,Papas fritas clásicas 170 g
All Saints' Day,2025-11-01,Pepino
All Saints' Day,2025-11-01,Tomate verde (tomatillo)
All Saints' Day,2025-11-01,Zanahoria
All Souls' Day,2025-11-02,Aguacate Hass
All Souls' Day,2025-11-02,Guayaba
All Souls' Day,2025-11-02,Lima
All Souls' Day,2025-11-02,Refresco limón 600 ml
All Souls' Day,2025-11-02,Mandarina
All Souls' Day,2025-11-02,Jugo de naranja 1 L
All Souls' Day,2025-11-02,Papaya
All Souls' Day,2025-11-02,Piña
All Souls' Day,2025-11-02,Plátano
All Souls' Day,2025-11-02,Tejocote
All Souls' Day,2025-11-02,Toronja (pomelo)
All Souls' Day,2025-11-02,Uva
All Souls' Day,2025-11-02,Zapote negro
All Souls' Day,2025-11-02,Acelga
All Souls' Day,2025-11-02,Ajo
All Souls' Day,2025-11-02,Betabel
All Souls' Day,2025-11-02,Calabacita
All Souls' Day,2025-11-02,Cebolla
All Souls' Day,2025-11-02,Col (repollo)
All Souls' Day,2025-11-02,Coliflor
All Souls' Day,2025-11-02,Ejote
All Souls' Day,2025-11-02,Elote (maíz tierno)
